Latitude,Longitude
39.9646462,32.5840059
39.9141235,32.9657783
39.9645880,32.5839570
39.9351120,32.8435260
39.9352210,32.8437340
39.9133800,32.9657160
39.9137020,32.9659920
39.9645880,32.5839570
39.9645880,32.5839570
39.9646060,32.5839720
39.9644920,32.5843101
39.9642841,32.5849170
39.9640991,32.5854289
39.9639070,32.5859701
39.9637309,32.5865511
39.9635740,32.5870649
39.9634671,32.5874409
39.9633850,32.5877280
39.9632980,32.5880719
39.9632170,32.5884321
39.9631530,32.5887240
39.9630810,32.5891050
39.9629720,32.5897490
39.9628650,32.5904240
39.9627551,32.5911569
39.9626819,32.5916061
39.9626090,32.5921159
39.9624950,32.5928260
39.9623780,32.5936150
39.9622880,32.5941759
39.9622070,32.5946830
39.9620990,32.5953870
39.9619791,32.5961439
39.9618900,32.5967261
39.9618120,32.5972411
39.9617030,32.5979350
39.9616051,32.5986239
39.9615040,32.5993400
39.9614101,32.5999469
39.9612989,32.6006671
39.9611990,32.6013130
39.9611060,32.6019081
39.9610220,32.6024650
39.9609310,32.6030129
39.9608361,32.6036309
39.9607489,32.6041751
39.9606790,32.6046329
39.9605951,32.6051869
39.9605130,32.6057300
39.9604551,32.6060809
39.9603999,32.6064391
39.9603320,32.6069030
39.9602699,32.6072541
39.9602099,32.6075870
39.9601380,32.6079271
39.9600579,32.6082700
39.9599690,32.6086120
39.9599081,32.6088419
39.9598081,32.6091880
39.9596970,32.6095349
39.9595650,32.6099339
39.9593229,32.6105940
39.9591190,32.6111421
39.9590100,32.6114429
39.9589100,32.6117160
39.9586659,32.6123431
39.9584480,32.6129581
39.9581710,32.6136819
39.9579241,32.6143520
39.9577810,32.6147910
39.9576250,32.6153430
39.9575331,32.6157360
39.9574400,32.6161679
39.9573700,32.6165529
39.9573261,32.6168460
39.9572770,32.6172071
39.9572410,32.6174979
39.9571970,32.6179940
39.9571540,32.6186501
39.9571161,32.6192500
39.9570730,32.6199300
39.9570270,32.6206771
39.9569920,32.6212650
39.9569471,32.6219009
39.9569049,32.6225901
39.9568450,32.6233609
39.9567989,32.6238981
39.9567260,32.6245749
39.9566690,32.6251679
39.9566280,32.6255760
39.9565680,32.6261259
39.9564919,32.6268940
39.9564381,32.6273459
39.9563739,32.6278580
39.9562440,32.6285820
39.9560669,32.6294061
39.9558360,32.6305489
39.9558360,32.6305510
39.9558000,32.6307269
39.9556729,32.6314331
39.9555370,32.6320619
39.9554490,32.6324900
39.9553739,32.6328150
39.9552210,32.6334110
39.9551020,32.6338800
39.9549619,32.6343979
39.9548081,32.6349980
39.9547010,32.6353800
39.9545880,32.6358089
39.9544839,32.6361920
39.9544051,32.6365180
39.9543040,32.6369750
39.9542109,32.6374360
39.9540810,32.6380671
39.9539810,32.6385729
39.9538810,32.6390750
39.9537500,32.6397079
39.9536130,32.6404269
39.9534720,32.6411309
39.9533359,32.6417870
39.9531730,32.6426300
39.9530619,32.6431970
39.9529399,32.6438041
39.9528391,32.6443409
39.9526950,32.6450640
39.9525799,32.6456600
39.9524620,32.6462890
39.9523380,32.6469089
39.9522240,32.6475199
39.9520439,32.6484131
39.9519381,32.6489680
39.9517840,32.6497459
39.9516520,32.6504369
39.9515530,32.6509950
39.9514510,32.6515130
39.9513960,32.6517149
39.9513400,32.6519031
39.9512400,32.6522340
39.9510910,32.6528810
39.9509800,32.6534640
39.9508880,32.6539789
39.9507750,32.6545790
39.9506761,32.6551139
39.9505410,32.6558580
39.9504220,32.6564910
39.9503050,32.6571459
39.9501611,32.6579500
